"investor_reference"," consumer_creditor_class","debt_amount"
"PH00027027","PMB",8788
"TK00160226","PMB",80
"PD00205403","PMB",1180
"RN00160413","PMB",3324
"ST00054307","PMB",2447
"SB00339702","PMB",1653
"MT00160534","PMB",338
"DK00219351","PMB",4776
"CR00152713","PMB",2751
"EP00044011","PMB",2429
"kW00092741","PMB",11740
"JF00160941","PMB",2954
"ds00161051","PMB",2161
"AA00161062","PMB",192
"AL00332530","PMB",5914
"DH00161216","PMB",2636
"CB00310387","PMB",872
"IS00023265","PMB",6345
"CP00206019","PMB",2573
"RW00190619","PMB",2107
"EM00277178","PMB",2108
"SN00161722","PMB",4364
"ac00161876","PMB",2104
"ts00302313","PMB",1174
"MM00161931","PMB",2106
"SG00319275","PMB",9852
"ah00037752","PMB",4366
"CB00016973","PMB",1074
"dc00199529","PMB",1967
"AG00162140","PMB",2283
"SS00204501","PMB",2136
"ic00081972","PMB",2180
"LC00076824","PMB",920
"JC00083787","PMB",2613
"BF00110561","PMB",3166
"JP00327052","PMB",1729
"RW00255486","PMB",7261
"RE00148753","PMB",2107
"dP00134926","PMB",5913
"CP00163240","PMB",6197
"LC00189651","PMB",1306
"JK00333916","PMB",5244
"ND00311729","PMB",424
"RD00165385","PMB",55031
"SD00163526","PMB",2108
"AE00200079","PMB",1972
"LB00334202","PMB",2104
"ms00163691","PMB",1969
"AL00163735","PMB",2145
"JC00163757","PMB",4250
"LG00163889","PMB",2108
"RP00075988","PMB",18451
"LW00099495","PMB",204
"rb00264231","PMB",3948
"JN00164098","PMB",2104
"EH00321761","PMB",7481
"MC00333938","PMB",4282
"JB00273735","PMB",2108
"ab00072281","PMB",424
"BM00203621","PMB",2170
"bb00165572","PMB",4192
"AP00035343","PMB",8304
"LW00110968","PMB",4630
"PS00287199","PMB",4655
"JS00192456","PMB",2136
"VD00164813","PMB",2109
"PA00164846","PMB",1646
"CW00100925","PMB",1973
"TA00181841","PMB",3949
"KN00165110","PMB",7617
"RH00318747","PMB",3205
"DP00165198","PMB",2180
"RF00334070","PMB",4282
"JG00158939","PMB",10098
"RY00284944","PMB",4124
"CC00136686","PMB",2186
"Km00266552","PMB",2200
"ML00336820","PMB",3934
"LC00112772","PMB",2182
"CM00165748","PMB",63
"RM00036256","PMB",684
"GP00174317","PMB",1889
"KT00331782","PMB",2168
"LW00165946","PMB",1972
"KR00166078","PMB",103
"NG00332717","PMB",2106
"Mg00166144","PMB",2107
"DM00166155","PMB",2180
"JW00336743","PMB",874
"IH00335995","PMB",39
"pr00166364","PMB",6405
"PW00166386","PMB",6478
"PM00210947","PMB",2137
"AB00208054","PMB",45
"LL00110594","PMB",45
"DW00166562","PMB",457
"HA00166595","PMB",4581
"IS00168003","PMB",80
"PC00315733","PMB",4191
"dm00155056","PMB",1968
"MR00259952","PMB",698
"EC00166947","PMB",2142
"AW00116171","PMB",844
"IS00205436","PMB",1304
"AM00167123","PMB",2225
"MT00167167","PMB",319
"HH00319979","PMB",2217
"jl00333718","PMB",2105
"MS00132506","PMB",2108
"DM00218097","PMB",4324
"Pd00013761","PMB",19669
"PH00333630","PMB",6169
"BG00031702","PMB",4816
"pb00319473","PMB",12719
"SP00167860","PMB",98978
"MP00168025","PMB",1967
"PB00037070","PMB",1420
"JB00168146","PMB",2755
"aL00168157","PMB",543
"KM00168179","PMB",913
"VG00069641","PMB",1538
"GP00158642","PMB",2105
"LL00331430","PMB",4195
"PB00336424","PMB",7868
"PS00151888","PMB",2109
"PP00204908","PMB",63
"SA00168751","PMB",363
"KR00168773","PMB",2182
"GT00317724","PMB",1362
"NB00318813","PMB",3413
"IA00207636","PMB",1970
"LC00169004","PMB",100
"JC00052239","PMB",9651
"NN00169202","PMB",2395
"PH00169323","PMB",76
"ms00169367","PMB",44
"GC00183799","PMB",6338
"cm00173998","PMB",118
"PH00192093","PMB",1974
"GD00102102","PMB",231
"JO00169730","PMB",11822
"SU00169840","PMB",2329
"JI00169884","PMB",1324
"MH00169906","PMB",1972
"JH00093940","PMB",2180
"tl00170093","PMB",307
"SD00050897","PMB",124
"JW00073018","PMB",3952
"AB00073535","PMB",848
"RL00259842","PMB",8152
"AS00170566","PMB",3941
"JD00170588","PMB",196
"AJ00318230","PMB",1580
"SM00203709","PMB",1302
"DB00309012","PMB",2107
"MG00060203","PMB",19050
"SC00170962","PMB",1504
"MP00289102","PMB",794
"BR00171094","PMB",2298
"AE00171116","PMB",2181
"dk00171138","PMB",2425
"AF00171215","PMB",2106
"BC00171248","PMB",4623
"SB00171314","PMB",205
"mt00163988","PMB",1398
"GS00171358","PMB",3693
"TM00177892","PMB",57397
"mw00134035","PMB",3947
"cm00171435","PMB",2108
"JM00219736","PMB",1391
"AS00171490","PMB",61
"YL00077022","PMB",17847
"RD00178321","PMB",6302
"mc00171787","PMB",985
"GG00314578","PMB",716
"PD00172051","PMB",5045
"JW00172106","PMB",226
"DM00249326","PMB",4381
"MH00172293","PMB",13058
"TR00172315","PMB",2488
"DL00025707","PMB",6374
"JP00172425","PMB",4408
"sw00257444","PMB",13001
"CB00204886","PMB",2106
"LS00126159","PMB",5912
"LN00162107","PMB",1969
"GW00141394","PMB",1969
"LC00172821","PMB",1657
"pr00059389","PMB",2472
"LH00315678","PMB",3905
"SC00173140","PMB",133
"JS00048840","PMB",2106
"EM00173283","PMB",2003
"MJ00083556","PMB",18332
"UB00235840","PMB",8838
"RS00188056","PMB",1978
"HT00045287","PMB",4192
"YM00301873","PMB",2180
"RM00090761","PMB",2108
"NB00160875","PMB",1377
"MS00182270","PMB",2108
"pH00236456","PMB",3947
"NH00173855","PMB",10035
"MD00250844","PMB",1969
"CP00091597","PMB",3083
"JE00148390","PMB",2106
"PG00174174","PMB",4420
"SB00174207","PMB",44
"RB00163449","PMB",6303
"MN00174328","PMB",10859
"DH00019921","PMB",4076
"JM00328746","PMB",4311
"OA00174636","PMB",2120
"CL00174647","PMB",12667
"MN00174933","PMB",4250
"ej00175043","PMB",116
"SA00335676","PMB",2933
"JW00175098","PMB",58
"SP00175175","PMB",2050
"JD00175241","PMB",4658
"RC00112343","PMB",11183
"ML00333399","PMB",1967
"DM00142582","PMB",2108
"TC00030283","PMB",2108
"RS00175736","PMB",1329
"Mp00172590","PMB",1360
"KM00197285","PMB",1965
"AL00080993","PMB",2106
"RW00030107","PMB",826
"RR00101310","PMB",305
"LU00176077","PMB",3624
"mg00176275","PMB",2863
"MR00150370","PMB",4152
"CJ00152295","PMB",6313
"MD00176726","PMB",4310
"SC00089386","PMB",2108
"IB00318571","PMB",3947
"ML00164274","PMB",1970
"MW00150293","PMB",6558
"KM00283437","PMB",2107
"CL00023551","PMB",7948
"FW00139029","PMB",7866
"PF00094798","PMB",1354
"MS00124531","PMB",113
"SM00324698","PMB",2757
"pa00209451","PMB",7899
"LW00163350","PMB",1968
"RD00086889","PMB",4194
"JW00201124","PMB",6084
"HV00335566","PMB",2006
"FD00289861","PMB",1970
"HO00090409","PMB",2398
"RM00194249","PMB",4192
"NP00143088","PMB",1969
"CB00219296","PMB",1441
"PR00178024","PMB",2361
"MW00178068","PMB",2108
"RG00053823","PMB",548
"SC00178200","PMB",2026
"RP00178299","PMB",2284
"JL00333388","PMB",2105
"HO00178398","PMB",2107
"JC00213708","PMB",2201
"kv00178728","PMB",1186
"TA00274747","PMB",43
"kg00072468","PMB",4387
"MN00178948","PMB",3819
"LM00179036","PMB",277
"FP00146432","PMB",2108
"HC00025575","PMB",1969
"dp00072182","PMB",95
"RA00269027","PMB",2758
"LC00112673","PMB",4111
"sp00179795","PMB",7888
"LL00179839","PMB",1971
"LA00222002","PMB",1970
"JT00324643","PMB",4169
"BE00335775","PMB",4192
"KP00180301","PMB",2104
"AS00154825","PMB",2145
"PE00324269","PMB",1967
"jf00180389","PMB",256
"IT00236467","PMB",1927
"KO00299728","PMB",1634
"RW00180675","PMB",1759
"JS00093797","PMB",2523
"jh00180774","PMB",422
"HS00156827","PMB",2107
"ab00266299","PMB",2252
"SM00098340","PMB",88394
"LC00181060","PMB",91
"jp00224257","PMB",2263
"AL00181181","PMB",6663
"JG00205271","PMB",2173
"RS00181643","PMB",7885
"DC00101024","PMB",9861
"RB00219989","PMB",2107
"ED00161084","PMB",2107
"mm00276892","PMB",3546
"WM00240163","PMB",2107
"JC00095997","PMB",2107
"JK00215479","PMB",4354
"PG00149688","PMB",9582
"rr00200486","PMB",1969
"JT00333806","PMB",2101
"JW00182622","PMB",4863
"MN00177012","PMB",4504
"sc00182655","PMB",4660
"RT00182721","PMB",2105
"AM00182776","PMB",5384
"GO00166815","PMB",3942
"RB00215215","PMB",167
"CD00330275","PMB",39
"SG00262999","PMB",4169
"FF00134552","PMB",8064
"PK00183183","PMB",1443
"DR00040249","PMB",4942
"DH00326546","PMB",6373
"RM00182215","PMB",6360
"SJ00334829","PMB",279
"JW00212751","PMB",1713
"CS00184228","PMB",3948
"LD00161392","PMB",103
"JR00184536","PMB",1225
"MP00193237","PMB",2106
"YS00205238","PMB",1435
"LB00184613","PMB",2106
"MT00334180","PMB",2104
"EC00184811","PMB",2180
"KL00264913","PMB",6143
"SD00085030","PMB",4395
"SL00079068","PMB",1120
"RB00335478","PMB",1221
"GL00185262","PMB",381
"RD00168828","PMB",1286
"PF00185394","PMB",109
"HB00205458","PMB",2250
"Nw00332464","PMB",41
"NS00234157","PMB",10979
"rw00036047","PMB",7753
"SF00127644","PMB",2181
"AW00093951","PMB",2144
"SG00201421","PMB",2175
"RT00185746","PMB",1284
"MS00185889","PMB",6126
"DB00185911","PMB",2177
"AW00185988","PMB",2687
"GC00103840","PMB",7205
"RB00211750","PMB",1252
"CF00189563","PMB",2745
"kM00186318","PMB",15980
"DA00188716","PMB",2108
"DL00186362","PMB",1681
"KG00079475","PMB",2642
"MD00123684","PMB",1723
"rf00289905","PMB",11099
"SS00146311","PMB",1301
"DB00322003","PMB",9138
"TI00329263","PMB",8459
"PH00285835","PMB",1968
"AB00185691","PMB",1182
"DS00284097","PMB",2104
"PP00096800","PMB",12812
"SO00220605","PMB",413
"gI00222475","PMB",2187
"DG00217118","PMB",43
"AC00187814","PMB",2869
"DH00339911","PMB",788
"rs00187880","PMB",1112
"JA00307659","PMB",4360
"LD00233079","PMB",1970
"EM00319572","PMB",4820
"AK00237468","PMB",1971
"DH00188243","PMB",1490
"GG00188672","PMB",8688
"PS00188694","PMB",3247
"MS00319077","PMB",2955
"SW00134365","PMB",9306
"ss00016896","PMB",8597
"AB00320012","PMB",1361
"MT00189189","PMB",4212
"NR00335786","PMB",5751
"WL00333696","PMB",2104
"DM00098076","PMB",4213
"PH00069916","PMB",2367
"vk00322289","PMB",7886
"DC00189530","PMB",1972
"TD00309892","PMB",15489
"TV00193776","PMB",9241
"NC00308099","PMB",1970
"AB00142549","PMB",2108
"DC00185658","PMB",1972
"pf00026389","PMB",219
"JP00190256","PMB",80
"RM00334939","PMB",4192
"KJ00334279","PMB",2104
"AT00317680","PMB",39
"DR00190388","PMB",1418
"VP00190399","PMB",2107
"pl00019701","PMB",7340
"KJ00190476","PMB",8926
"PB00222552","PMB",1433
"WG00190674","PMB",2398
"JP00177727","PMB",7395
"CS00190751","PMB",7100
"HH00334631","PMB",1256
"CC00190938","PMB",3441
"PK00190993","PMB",1971
"WH00089067","PMB",6514
"Xz00166210","PMB",2106
"PF00191147","PMB",1154
"YC00191180","PMB",1972
"PS00191202","PMB",4340
"CW00151107","PMB",81
"RP00205447","PMB",1703
"PG00334840","PMB",434
"mM00191642","PMB",2104
"MG00202125","PMB",2108
"ss00171655","PMB",26087
"SL00192082","PMB",4359
"LS00139502","PMB",3313
"MC00144639","PMB",1465
"rp00052283","PMB",54
"DT00192137","PMB",57
"JD00115247","PMB",1968
"KP00158477","PMB",1969
"MC00192577","PMB",1311
"PB00192654","PMB",985
"KH00153197","PMB",2108
"AH00192973","PMB",876
"DS00138171","PMB",2107
"MS00193083","PMB",3935
"ML00193105","PMB",24817
"bb00133716","PMB",2142
"NF00334224","PMB",2177
"NC00193325","PMB",789
"GM00067276","PMB",4251
"ML00193369","PMB",16791
"pj00170544","PMB",1970
"CH00209253","PMB",2142
"SP00193622","PMB",1972
"TG00264396","PMB",5574
"Tj00058619","PMB",4192
"RE00330638","PMB",2885
"DN00331705","PMB",2105
"MW00292545","PMB",8498
"PF00076395","PMB",5445
"HS00337601","PMB",3938
"jd00194216","PMB",2813
"RS00338635","PMB",4106
"od00046970","PMB",417
"MK00194491","PMB",6111
"CH00180983","PMB",3720
"DR00194645","PMB",424
"WB00064031","PMB",2108
"DG00313214","PMB",6048
"bs00194810","PMB",4504
"DK00277530","PMB",4644
"PG00043307","PMB",7186
"SC00159621","PMB",3942
"PD00195217","PMB",7007
"SO00164769","PMB",1372
"JD00046112","PMB",7864
"NB00195415","PMB",2187
"AC00323081","PMB",6695
"KB00195514","PMB",6299
"KM00195646","PMB",2717
"RL00292204","PMB",1970
"NM00195811","PMB",2137
"al00195877","PMB",10287
"Bs00195888","PMB",4267
"AM00221419","PMB",1416
"LS00324687","PMB",3936
"JS00220429","PMB",2106
"NI00126808","PMB",2267
"PG00033990","PMB",6643
"SS00191477","PMB",8119
"DC00196361","PMB",10650
"dm00196438","PMB",787
"Cs00150953","PMB",8755
"MB00220891","PMB",2587
"JD00207295","PMB",2606
"rd00337953","PMB",2108
"hg00196878","PMB",2291
"jl00151217","PMB",2108
"IC00124036","PMB",3936
"jd00197175","PMB",6327
"IS00087384","PMB",2106
"SB00221749","PMB",2257
"KP00148599","PMB",2108
"PF00197307","PMB",4247
"SR00210045","PMB",2143
"DA00197406","PMB",2967
"MR00030305","PMB",8069
"SJ00197758","PMB",1247
"AD00172700","PMB",3969
"SB00197890","PMB",2136
"PH00197945","PMB",199
"GW00299200","PMB",84
"LP00319308","PMB",2277
"AF00156365","PMB",1417
"PC00184569","PMB",11832
"ES00275825","PMB",2213
"JG00094545","PMB",2108
"ip00206756","PMB",1971
"sF00198616","PMB",4191
"LP00106007","PMB",8762
"JW00239547","PMB",747
"EA00331991","PMB",4289
"SV00199045","PMB",4370
"VG00152856","PMB",2145
"KL00181907","PMB",7680
"MH00123618","PMB",2368
"SP00218119","PMB",42799
"BM00199298","PMB",46
"FO00159313","PMB",2647
"MH00151756","PMB",2107
"kw00199727","PMB",4058
"DT00146751","PMB",2241
"JM00231286","PMB",6299
"RM00080938","PMB",32906
"DR00233145","PMB",903
"SH00200464","PMB",5519
"CG00221287","PMB",1300
"RM00200596","PMB",420
"jw00141713","PMB",2108
"SH00144584","PMB",4077
"BD00319088","PMB",18146
"JB00183348","PMB",4122
"DD00200992","PMB",19303
"GJ00069168","PMB",79
"JM00144540","PMB",4832
"AB00139216","PMB",2107
"MA00156332","PMB",8066
"DH00173569","PMB",9008
"GW00201322","PMB",4192
"GL00201333","PMB",2147
"IC00201410","PMB",120
"DH00183194","PMB",2104
"AD00106909","PMB",2529
"SG00160281","PMB",2145
"NH00142406","PMB",10582
"NW00220671","PMB",3756
"SL00068640","PMB",2252
"GL00255640","PMB",14113
"RN00202136","PMB",2170
"RC00245212","PMB",3942
"JP00196163","PMB",1969
"MA00273999","PMB",4116
"PO00202488","PMB",2177
"AR00147466","PMB",2108
"KT00196724","PMB",2106
"MM00211222","PMB",2143
"DS00202785","PMB",2108
"DT00296780","PMB",7880
"PL00186076","PMB",1356
"LW00300762","PMB",6709
"IH00203104","PMB",341
"AM00016731","PMB",6162
"EW00203291","PMB",80
"JC00151602","PMB",1133
"CR00334345","PMB",2176
"IS00145695","PMB",2108
"RS00078661","PMB",2105
"bw00203654","PMB",2703
"MD00276331","PMB",9838
"AG00333960","PMB",2105
"MB00195349","PMB",395
"PM00205029","PMB",2325
"AY00204050","PMB",2133
"TM00034067","PMB",1967
"DN00327349","PMB",2963
"AC00204127","PMB",2272
"TB00242220","PMB",45
"RP00336490","PMB",1968
"HH00334312","PMB",1967
"AW00204402","PMB",2214
"MW00204413","PMB",5933
"RA00228349","PMB",558
"AY00116160","PMB",2108
"HM00289762","PMB",451
"CS00330902","PMB",8559
"JH00065351","PMB",2493
"RW00140041","PMB",2106
"PS00242990","PMB",1970
"LA00246477","PMB",15792
"JS00035332","PMB",4261
"CA00196152","PMB",3943
"SH00195899","PMB",1972
"tm00156882","PMB",3476
"MH00256828","PMB",2035
"CC00244838","PMB",2089
"WW00206998","PMB",3152
"MW00206151","PMB",443
"VB00334191","PMB",2104
"NH00271260","PMB",4784
"CP00322047","PMB",1315
"HO00044638","PMB",254
"jC00331661","PMB",6428
"ZP00332761","PMB",6315
"WT00148929","PMB",2108
"SP00055000","PMB",2143
"ah00119240","PMB",2105
"BR00067551","PMB",10532
"HF00207790","PMB",2196
"AW00215798","PMB",7948
"IM00210969","PMB",45
"AP00207955","PMB",74
"MR00319374","PMB",1138
"SG00208076","PMB",2106
"SM00208208","PMB",209
"aF00329582","PMB",8343
"RS00247280","PMB",2223
"JB00208384","PMB",15829
"DF00327272","PMB",2080
"cm00191686","PMB",1967
"EC00105380","PMB",2177
"BC00298727","PMB",3321
"DT00208681","PMB",5828
"pm00163603","PMB",12693
"SW00335753","PMB",2540
"SB00320573","PMB",44
"RH00072193","PMB",676
"TM00312972","PMB",9241
"IC00018414","PMB",3648
"GS00209583","PMB",1264
"SB00178838","PMB",7408
"MB00338767","PMB",4192
"EB00023023","PMB",1975
"RM00333179","PMB",3937
"BR00210133","PMB",87
"BT00210210","PMB",2760
"JB00203335","PMB",1970
"KS00325545","PMB",3948
"CR00289289","PMB",2272
"AB00258115","PMB",3962
"MP00333311","PMB",65331
"DS00210837","PMB",2241
"MF00232419","PMB",455
"lc00232386","PMB",3337
"MH00079904","PMB",484
"AS00047410","PMB",8534
"VT00332123","PMB",1989
"AC00034562","PMB",2217
"ML00211277","PMB",7892
"SR00330517","PMB",2104
"HS00318032","PMB",30184
"RA00211596","PMB",160
"JW00015059","PMB",1162
"GE00108295","PMB",5065
"MM00211805","PMB",2105
"TF00091520","PMB",1970
"WT00332640","PMB",1969
"ml00253770","PMB",530
"SL00198440","PMB",6736
"ce00189607","PMB",1394
"As00156310","PMB",2109
"LG00318175","PMB",11439
"JH00303952","PMB",1299
"DS00166529","PMB",3509
"PG00023716","PMB",11684
"PB00317306","PMB",1354
"DM00310244","PMB",4552
"MP00213257","PMB",15518
"RH00315667","PMB",2626
"EC00291434","PMB",1255
"BN00213367","PMB",443
"DW00144045","PMB",9821
"MA00213620","PMB",6860
"KW00329934","PMB",1266
"DF00211057","PMB",6461
"JR00213719","PMB",1302
"SS00213884","PMB",3660
"DJ00079486","PMB",1970
"JP00016830","PMB",3932
"AS00063701","PMB",17267
"PW00214192","PMB",2576
"jd00196548","PMB",2136
"HS00214225","PMB",3806
"KF00332277","PMB",1972
"SM00230417","PMB",4327
"LK00146135","PMB",4212
"RM00214610","PMB",1998
"RI00337150","PMB",197
"JC00214753","PMB",1298
"GC00214775","PMB",1181
"MW00181005","PMB",1969
"JB00214929","PMB",4007
"pj00153736","PMB",1387
"IS00325853","PMB",1326
"Gr00317097","PMB",2108
"PD00215094","PMB",9189
"AD00319231","PMB",3941
"SW00215160","PMB",1970
"LW00215226","PMB",9795
"st00215303","PMB",27205
"ML00300047","PMB",10196
"DA00215556","PMB",266
"DS00215710","PMB",6429
"KN00215743","PMB",113
"GD00334169","PMB",2104
"NB00243012","PMB",3995
"GC00338206","PMB",412
"BM00071962","PMB",4307
"PH00216040","PMB",3950
"AL00216084","PMB",22939
"DK00056430","PMB",29645
"PS00151855","PMB",4369
"SU00331815","PMB",3938
"IF00184393","PMB",42
"AA00206162","PMB",1086
"JG00082478","PMB",6649
"SY00321893","PMB",19735
"fm00186494","PMB",2403
"AC00216645","PMB",4414
"SR00311454","PMB",2264
"JY00218581","PMB",1180
"ND00033264","PMB",4504
"RH00217074","PMB",1986
"SW00336193","PMB",3945
"GH00150865","PMB",2108
"GL00166914","PMB",9180
"JP00319517","PMB",4444
"MH00273746","PMB",7359
"vg00298045","PMB",4408
"DS00093148","PMB",448
"dp00259897","PMB",658
"sc00217822","PMB",2175
"RK00217833","PMB",2108
"AB00119713","PMB",852
"II00217954","PMB",6439
"OM00262108","PMB",2530
"GB00144265","PMB",2108
"RS00157542","PMB",1974
"RM00332376","PMB",2106
"WM00150810","PMB",2107
"KY00218845","PMB",955
"PR00140217","PMB",3498
"AO00219087","PMB",3527
"RP00189332","PMB",1969
"HH00167222","PMB",2108
"CS00219274","PMB",2483
"NH00318934","PMB",443
"GB00318087","PMB",2236
"AF00219494","PMB",1597
"SP00146531","PMB",43
"JL00219670","PMB",2106
"ME00227139","PMB",980
"MB00219802","PMB",1181
"DS00133375","PMB",7344
"MC00220000","PMB",1968
"JH00220055","PMB",3444
"mw00202554","PMB",3945
"pr00204534","PMB",4327
"cc00220308","PMB",43
"HL00220319","PMB",2120
"GI00331716","PMB",2141
"KG00029579","PMB",2108
"KR00129591","PMB",4211
"AO00220748","PMB",4262
"PM00025278","PMB",2239
"RL00317922","PMB",1975
"SB00333432","PMB",2105
"GC00220957","PMB",4289
"RL00334323","PMB",2141
"CW00160347","PMB",2177
"MR00221232","PMB",3344
"NP00114246","PMB",2108
"BM00053757","PMB",77
"SM00221441","PMB",376
"MJ00221639","PMB",4023
"FL00194238","PMB",1128
"CF00317845","PMB",2106
"SG00049291","PMB",4214
"RH00164241","PMB",1391
"DS00222255","PMB",890
"WC00039358","PMB",4504
"JS00222167","PMB",2145
"EW00164637","PMB",5911
"JB00048312","PMB",5190
"DP00184998","PMB",2106
"JB00317790","PMB",1400
"MR00223069","PMB",4214
"ib00175879","PMB",2141
"DS00223256","PMB",146
"CH00325721","PMB",4327
"ns00100760","PMB",225
"DB00144155","PMB",2107
"CP00050358","PMB",5917
"RB00015972","PMB",3935
"AB00224510","PMB",2108
"DG00224917","PMB",719
"JC00168883","PMB",1428
"RH00139205","PMB",2406
"MH00226754","PMB",212
"EH00333542","PMB",2105
"IM00087406","PMB",2108
"AM00227183","PMB",78
"JB00100463","PMB",3942
"JS00227403","PMB",5739
"ND00227425","PMB",66
"NM00227799","PMB",4249
"AR00229240","PMB",41
"RM00308660","PMB",733
"JF00252912","PMB",2111
"VB00207350","PMB",9560
"IM00228602","PMB",1971
"NW00228690","PMB",374
"MC00228954","PMB",10511
"Da00229009","PMB",876
"IF00229031","PMB",6504
"JH00229097","PMB",3547
"AK00334686","PMB",1302
"RG00328636","PMB",2121
"KC00229317","PMB",4328
"DP00229647","PMB",3935
"HL00229724","PMB",214
"PM00301279","PMB",1079
"NG00230087","PMB",2033
"KD00333036","PMB",2106
"LR00036707","PMB",2106
"AD00103411","PMB",2145
"SK00215996","PMB",1409
"RH00190652","PMB",4195
"JP00231319","PMB",281
"MW00231330","PMB",11462
"AT00231924","PMB",33442
"LJ00231979","PMB",2144
"MC00232353","PMB",2180
"RH00232870","PMB",1128
"cb00232936","PMB",2087
"MM00334015","PMB",2141
"DB00233123","PMB",109
"AS00233321","PMB",144
"GB00151173","PMB",4284
"PW00334873","PMB",2211
"JH00067661","PMB",2106
"LH00234289","PMB",8047
"GL00044902","PMB",1970
"JG00332310","PMB",4213
"JA00277332","PMB",1325
"DW00208934","PMB",2129
"mb00236203","PMB",1415
"BS00131395","PMB",136
"EC00236423","PMB",3935
"BM00322465","PMB",1181
"KP00274912","PMB",3789
"LM00236742","PMB",1097
"DB00236808","PMB",346
"MC00167211","PMB",1425
"rp00246587","PMB",4211
"PB00126390","PMB",4288
"IW00237567","PMB",788
"JC00242935","PMB",9167
"JH00237743","PMB",1792
"CP00237930","PMB",211
"jP00157949","PMB",4213
"SR00237985","PMB",413
"MM00237996","PMB",819
"HF00238150","PMB",5725
"JS00333146","PMB",1970
"GP00238414","PMB",9519
"IB00238546","PMB",49272
"MH00319429","PMB",1096
"RR00216480","PMB",6326
"AS00239206","PMB",133
"EV00270336","PMB",1840
"AL00328229","PMB",416
"CB00025399","PMB",11814
"CS00149281","PMB",1968
"MD00240526","PMB",2125
"SB00240592","PMB",2141
"GF00240889","PMB",2107
"MP00253374","PMB",239
"AC00154638","PMB",38012
"GS00241142","PMB",4191
"AF00026235","PMB",318
"TJ00329747","PMB",210
"jb00185328","PMB",2106
"SR00338954","PMB",157
"JS00241813","PMB",224
"JC00237941","PMB",3451
"RP00333784","PMB",2178
"PC00242341","PMB",1040
"mw00030206","PMB",864
"RB00242627","PMB",4280
"NB00324489","PMB",2208
"JH00243001","PMB",872
"CG00243122","PMB",903
"DB00112970","PMB",2463
"LT00243320","PMB",63
"RM00110286","PMB",987
"PS00149897","PMB",2107
"DW00243848","PMB",2107
"ip00243870","PMB",9738
"FB00139799","PMB",1969
"aj00205062","PMB",2189
"sm00152746","PMB",51
"BH00245036","PMB",212
"CM00160809","PMB",3974
"JO00245245","PMB",1909
"WT00172370","PMB",8563
"BK00199133","PMB",2145
"DH00245784","PMB",2040
"DL00245806","PMB",6319
"CH00334994","PMB",636
"JP00246048","PMB",168
"LS00246257","PMB",2145
"DW00246312","PMB",4151
"TF00099836","PMB",1252
"BR00335742","PMB",3931
"RM00094578","PMB",2108
"SW00247027","PMB",4731
"DF00075185","PMB",2143
"SJ00085624","PMB",2104
"MF00331903","PMB",1264
"PB00248028","PMB",29513
"NP00248149","PMB",4005
"HK00070367","PMB",4432
"JH00248457","PMB",671
"AE00197263","PMB",1971
"SF00249689","PMB",6979
"SD00234234","PMB",1972
"AS00249909","PMB",6090
"TS00084832","PMB",14897
"MM00250151","PMB",4421
"kW00250173","PMB",844
"AT00162844","PMB",1969
"RR00302247","PMB",7976
"CH00136070","PMB",8628
"KB00141471","PMB",2017
"AM00251240","PMB",8115
"AC00251658","PMB",2104
"BB00095942","PMB",1969
"SP00322421","PMB",12779
"EB00200651","PMB",3754
"LH00112486","PMB",3950
"RH00147598","PMB",2109
"jg00142780","PMB",13276
"MR00331507","PMB",4290
"SL00141504","PMB",913
"DW00253088","PMB",7298
"VD00259765","PMB",439
"RS00115764","PMB",4033
"VB00253704","PMB",274
"LB00253726","PMB",274
"mb00212828","PMB",2133
"jr00254111","PMB",276
"SH00165682","PMB",1416
"vr00016324","PMB",2106
"SP00254628","PMB",1183
"KA00331133","PMB",3949
"AA00254672","PMB",4545
"TH00104577","PMB",710
"sj00181951","PMB",5913
"dP00157916","PMB",4287
"PC00318373","PMB",2283
"VH00166243","PMB",3613
"LH00208582","PMB",841
"NS00144375","PMB",1968
"ET00255728","PMB",4347
"AT00336776","PMB",8731
"pi00255882","PMB",338
"IM00296021","PMB",986
"DC00256410","PMB",2177
"AT00139711","PMB",1969
"JD00257763","PMB",2141
"MS00045650","PMB",4155
"SM00239591","PMB",4195
"PK00320056","PMB",4734
"IC00256872","PMB",2476
"AR00197021","PMB",1385
"DK00257323","PMB",6491
"jT00063305","PMB",2422
"RD00257367","PMB",4951
"AC00195954","PMB",2107
"LK00257521","PMB",253
"AM00167013","PMB",2179
"RM00257587","PMB",222
"KL00093016","PMB",3932
"RD00228525","PMB",226
"ET00169048","PMB",4416
"NS00332101","PMB",4283
"ac00257961","PMB",245
"MM00333707","PMB",6295
"MI00199166","PMB",3941
"AA00334653","PMB",43
"ZP00037114","PMB",115
"DA00259061","PMB",8327
"JH00259083","PMB",1575
"SG00259094","PMB",3103
"BF00251207","PMB",877
"MR00259358","PMB",898
"DF00259490","PMB",249
"DT00259567","PMB",45
"JC00200871","PMB",367
"JL00259655","PMB",2145
"sg00192126","PMB",2108
"DH00146289","PMB",2106
"GB00070576","PMB",51
"SH00177441","PMB",2108
"KM00332420","PMB",2105
"FM00336380","PMB",3403
"WM00029073","PMB",2108
"SH00066220","PMB",98698
"AM00260183","PMB",50
"SB00260249","PMB",253
"JC00260579","PMB",2107
"JT00260700","PMB",2684
